,encoding_name,fname,auc,,,,,,,,,
1,phones_dictio_5,nasal,0.54375,,,,,,,,,
2,phones_dictio_5,continuant,0.4775641026,,,,,,,,,
3,phones_dictio_5,coronal_dorsal,0.34375,,,,nasal,continuant,coronal_dorsal,coronal_labial,labial_dorsal,voice
4,phones_dictio_5,coronal_labial,0.5139473684,,,phones_dictio_25,0.6770833333,0.608974359,0.58125,0.6613157895,0.6243055556,0.7216966967
5,phones_dictio_5,labial_dorsal,0.6868055556,,,phones_real_25,0.65625,0.6490384615,0.7270833333,0.6934210526,0.81875,0.696021021
6,phones_dictio_5,voice,0.4415165165,,,phones_#_Dictio_25,0.4604166667,0.639957265,0.4395833333,0.6194736842,0.7326388889,0.6856606607
7,phones_dictio_10,nasal,0.5284722222,,,phones_#_Real_25,0.6354166667,0.6485042735,0.4868055556,0.6718421053,0.8590277778,0.6620870871
8,phones_dictio_10,continuant,0.4759615385,,,,,,,,,
9,phones_dictio_10,coronal_dorsal,0.4104166667,,,,,,,,,
10,phones_dictio_10,coronal_labial,0.5952631579,,,,,,,,,
11,phones_dictio_10,labial_dorsal,0.6756944444,,,,,,,,,
12,phones_dictio_10,voice,0.5511261261,,,,,,,,,
13,phones_dictio_15,nasal,0.4659722222,,,,,,,,,
14,phones_dictio_15,continuant,0.5448717949,,,,,,,,,
15,phones_dictio_15,coronal_dorsal,0.4965277778,,,,,,,,,
16,phones_dictio_15,coronal_labial,0.6236842105,,,,,,,,,
17,phones_dictio_15,labial_dorsal,0.7701388889,,,,,,,,,
18,phones_dictio_15,voice,0.5954204204,,,,,,,,,
19,phones_dictio_20,nasal,0.5173611111,,,,,,,,,
20,phones_dictio_20,continuant,0.5827991453,,,,,,,,,
21,phones_dictio_20,coronal_dorsal,0.5409722222,,,,,,,,,
22,phones_dictio_20,coronal_labial,0.6105263158,,,,,,,,,
23,phones_dictio_20,labial_dorsal,0.6895833333,,,,,,,,,
24,phones_dictio_20,voice,0.6787537538,,,,,,,,,
25,phones_dictio_25,nasal,0.6770833333,,,,,,,,,
26,phones_dictio_25,continuant,0.608974359,,,,,,,,,
27,phones_dictio_25,coronal_dorsal,0.58125,,,,,,,,,
28,phones_dictio_25,coronal_labial,0.6613157895,,,,,,,,,
29,phones_dictio_25,labial_dorsal,0.6243055556,,,,,,,,,
30,phones_dictio_25,voice,0.7216966967,,,,,,,,,
31,phones_dictio_30,nasal,0.6354166667,,,,,,,,,
32,phones_dictio_30,continuant,0.5037393162,,,,,,,,,
33,phones_dictio_30,coronal_dorsal,0.6604166667,,,,,,,,,
34,phones_dictio_30,coronal_labial,0.6739473684,,,,,,,,,
35,phones_dictio_30,labial_dorsal,0.6576388889,,,,,,,,,
36,phones_dictio_30,voice,0.6584834835,,,,,,,,,
37,phones_real_5,nasal,0.6826388889,,,,,,,,,
38,phones_real_5,continuant,0.4332264957,,,,,,,,,
39,phones_real_5,coronal_dorsal,0.4659722222,,,,,,,,,
40,phones_real_5,coronal_labial,0.8210526316,,,,,,,,,
41,phones_real_5,labial_dorsal,0.9104166667,,,,,,,,,
42,phones_real_5,voice,0.5643393393,,,,,,,,,
43,phones_real_10,nasal,0.49375,,,,,,,,,
44,phones_real_10,continuant,0.5096153846,,,,,,,,,
45,phones_real_10,coronal_dorsal,0.7729166667,,,,,,,,,
46,phones_real_10,coronal_labial,0.7105263158,,,,,,,,,
47,phones_real_10,labial_dorsal,0.9444444444,,,,,,,,,
48,phones_real_10,voice,0.7581831832,,,,,,,,,
49,phones_real_15,nasal,0.6756944444,,,,,,,,,
50,phones_real_15,continuant,0.5454059829,,,,,,,,,
51,phones_real_15,coronal_dorsal,0.7076388889,,,,,,,,,
52,phones_real_15,coronal_labial,0.7105263158,,,,,,,,,
53,phones_real_15,labial_dorsal,0.84375,,,,,,,,,
54,phones_real_15,voice,0.7616366366,,,,,,,,,
55,phones_real_20,nasal,0.6284722222,,,,,,,,,
56,phones_real_20,continuant,0.5950854701,,,,,,,,,
57,phones_real_20,coronal_dorsal,0.7923611111,,,,,,,,,
58,phones_real_20,coronal_labial,0.7155263158,,,,,,,,,
59,phones_real_20,labial_dorsal,0.7951388889,,,,,,,,,
60,phones_real_20,voice,0.7367117117,,,,,,,,,
61,phones_real_25,nasal,0.65625,,,,,,,,,
62,phones_real_25,continuant,0.6490384615,,,,,,,,,
63,phones_real_25,coronal_dorsal,0.7270833333,,,,,,,,,
64,phones_real_25,coronal_labial,0.6934210526,,,,,,,,,
65,phones_real_25,labial_dorsal,0.81875,,,,,,,,,
66,phones_real_25,voice,0.696021021,,,,,,,,,
67,phones_real_30,nasal,0.7131944444,,,,,,,,,
68,phones_real_30,continuant,0.5988247863,,,,,,,,,
69,phones_real_30,coronal_dorsal,0.71875,,,,,,,,,
70,phones_real_30,coronal_labial,0.7373684211,,,,,,,,,
71,phones_real_30,labial_dorsal,0.8354166667,,,,,,,,,
72,phones_real_30,voice,0.6739489489,,,,,,,,,
73,phones_#_Dictio_5,nasal,0.65,,,,,,,,,
74,phones_#_Dictio_5,continuant,0.5379273504,,,,,,,,,
75,phones_#_Dictio_5,coronal_dorsal,0.3840277778,,,,,,,,,
76,phones_#_Dictio_5,coronal_labial,0.5642105263,,,,,,,,,
77,phones_#_Dictio_5,labial_dorsal,0.5840277778,,,,,,,,,
78,phones_#_Dictio_5,voice,0.6367117117,,,,,,,,,
79,phones_#_Dictio_10,nasal,0.3673611111,,,,,,,,,
80,phones_#_Dictio_10,continuant,0.5080128205,,,,,,,,,
81,phones_#_Dictio_10,coronal_dorsal,0.41875,,,,,,,,,
82,phones_#_Dictio_10,coronal_labial,0.6702631579,,,,,,,,,
83,phones_#_Dictio_10,labial_dorsal,0.6159722222,,,,,,,,,
84,phones_#_Dictio_10,voice,0.6475225225,,,,,,,,,
85,phones_#_Dictio_15,nasal,0.4465277778,,,,,,,,,
86,phones_#_Dictio_15,continuant,0.5998931624,,,,,,,,,
87,phones_#_Dictio_15,coronal_dorsal,0.4493055556,,,,,,,,,
88,phones_#_Dictio_15,coronal_labial,0.6642105263,,,,,,,,,
89,phones_#_Dictio_15,labial_dorsal,0.7284722222,,,,,,,,,
90,phones_#_Dictio_15,voice,0.7087837838,,,,,,,,,
91,phones_#_Dictio_20,nasal,0.49375,,,,,,,,,
92,phones_#_Dictio_20,continuant,0.6020299145,,,,,,,,,
93,phones_#_Dictio_20,coronal_dorsal,0.4479166667,,,,,,,,,
94,phones_#_Dictio_20,coronal_labial,0.6034210526,,,,,,,,,
95,phones_#_Dictio_20,labial_dorsal,0.6326388889,,,,,,,,,
96,phones_#_Dictio_20,voice,0.6451201201,,,,,,,,,
97,phones_#_Dictio_25,nasal,0.4604166667,,,,,,,,,
98,phones_#_Dictio_25,continuant,0.639957265,,,,,,,,,
99,phones_#_Dictio_25,coronal_dorsal,0.4395833333,,,,,,,,,
100,phones_#_Dictio_25,coronal_labial,0.6194736842,,,,,,,,,
101,phones_#_Dictio_25,labial_dorsal,0.7326388889,,,,,,,,,
102,phones_#_Dictio_25,voice,0.6856606607,,,,,,,,,
103,phones_#_Dictio_30,nasal,0.4701388889,,,,,,,,,
104,phones_#_Dictio_30,continuant,0.5523504274,,,,,,,,,
105,phones_#_Dictio_30,coronal_dorsal,0.4548611111,,,,,,,,,
106,phones_#_Dictio_30,coronal_labial,0.5997368421,,,,,,,,,
107,phones_#_Dictio_30,labial_dorsal,0.6826388889,,,,,,,,,
108,phones_#_Dictio_30,voice,0.6649399399,,,,,,,,,
109,phones_#_Real_5,nasal,0.6534722222,,,,,,,,,
110,phones_#_Real_5,continuant,0.4342948718,,,,,,,,,
111,phones_#_Real_5,coronal_dorsal,0.4479166667,,,,,,,,,
112,phones_#_Real_5,coronal_labial,0.7977631579,,,,,,,,,
113,phones_#_Real_5,labial_dorsal,0.8604166667,,,,,,,,,
114,phones_#_Real_5,voice,0.8838588589,,,,,,,,,
115,phones_#_Real_10,nasal,0.5951388889,,,,,,,,,
116,phones_#_Real_10,continuant,0.4722222222,,,,,,,,,
117,phones_#_Real_10,coronal_dorsal,0.4395833333,,,,,,,,,
118,phones_#_Real_10,coronal_labial,0.6563157895,,,,,,,,,
119,phones_#_Real_10,labial_dorsal,0.8979166667,,,,,,,,,
120,phones_#_Real_10,voice,0.5734984985,,,,,,,,,
121,phones_#_Real_15,nasal,0.5604166667,,,,,,,,,
122,phones_#_Real_15,continuant,0.5795940171,,,,,,,,,
123,phones_#_Real_15,coronal_dorsal,0.4548611111,,,,,,,,,
124,phones_#_Real_15,coronal_labial,0.6415789474,,,,,,,,,
125,phones_#_Real_15,labial_dorsal,0.9159722222,,,,,,,,,
126,phones_#_Real_15,voice,0.6978228228,,,,,,,,,
127,phones_#_Real_20,nasal,0.7006944444,,,,,,,,,
128,phones_#_Real_20,continuant,0.6479700855,,,,,,,,,
129,phones_#_Real_20,coronal_dorsal,0.56875,,,,,,,,,
130,phones_#_Real_20,coronal_labial,0.7128947368,,,,,,,,,
131,phones_#_Real_20,labial_dorsal,0.8506944444,,,,,,,,,
132,phones_#_Real_20,voice,0.670045045,,,,,,,,,
133,phones_#_Real_25,nasal,0.6354166667,,,,,,,,,
134,phones_#_Real_25,continuant,0.6485042735,,,,,,,,,
135,phones_#_Real_25,coronal_dorsal,0.4868055556,,,,,,,,,
136,phones_#_Real_25,coronal_labial,0.6718421053,,,,,,,,,
137,phones_#_Real_25,labial_dorsal,0.8590277778,,,,,,,,,
138,phones_#_Real_25,voice,0.6620870871,,,,,,,,,
139,phones_#_Real_30,nasal,0.6826388889,,,,,,,,,
140,phones_#_Real_30,continuant,0.6554487179,,,,,,,,,
141,phones_#_Real_30,coronal_dorsal,0.4631944444,,,,,,,,,
142,phones_#_Real_30,coronal_labial,0.6213157895,,,,,,,,,
143,phones_#_Real_30,labial_dorsal,0.7451388889,,,,,,,,,
144,phones_#_Real_30,voice,0.6581831832,,,,,,,,,
